,Age,Gender,Study_Hours,Class_Attendance,Tuition,Exam_Frequency,Assignment_Load,Sleep_Hours,Caffeine_Intake_mg,Physical_Exercise,Social_Media_Use,Screen_Time,Family_Income_Level,Peer_Pressure,Family_Support,Anxiety_Level,University_Type,Stress_Score,Stress_Level
13,22,Male,7.0,88.0,Yes,6,3.0,6.0,100.0,No,0.0,2.0,Low,6.0,5.0,2.0,Private University,2,Low
14,24,Male,0.0,48.0,Yes,7,2.0,5.0,200.0,No,6.0,11.0,High,7.0,3.0,4.0,Private University,22,High
15,23,Male,7.0,68.0,No,9,3.0,6.0,150.0,Yes,4.0,1.0,Low,5.0,1.0,4.0,Public University,12,Medium
16,23,Male,7.0,48.0,Yes,2,6.0,8.0,50.0,No,2.0,4.0,Low,2.0,3.0,2.0,Public University,5,Low
17,23,Male,6.0,95.0,Yes,9,4.0,4.0,300.0,No,6.0,1.0,Low,1.0,7.0,2.0,National University,11,Medium
18,22,Female,2.0,64.0,Yes,1,5.0,6.0,250.0,No,3.0,1.0,Medium,4.0,2.0,1.0,National University,3,Low
19,20,Female,7.0,61.0,Yes,6,3.0,6.0,0.0,No,3.0,6.0,High,9.0,4.0,2.0,Public University,10,Low
20,22,Male,6.0,48.0,Yes,9,9.0,6.0,150.0,No,7.0,7.0,Medium,5.0,6.0,1.0,Private University,21,High
21,23,Female,9.0,77.0,Yes,6,4.0,5.0,200.0,Yes,0.0,3.0,Low,2.0,4.0,8.0,National University,10,Low
22,24,Female,0.0,64.0,No,2,1.0,5.0,100.0,No,4.0,5.0,Medium,3.0,3.0,5.0,Private University,9,Low
23,23,Male,6.0,83.0,Yes,2,4.0,4.0,100.0,No,1.0,9.0,Low,2.0,7.0,4.0,Private University,9,Low
24,22,Female,7.0,84.0,No,7,7.0,6.0,300.0,No,3.0,9.0,Low,1.0,7.0,3.0,National University,16,Medium
25,23,Male,5.0,79.0,Yes,7,7.0,5.0,100.0,Yes,4.0,10.0,Medium,8.0,9.0,5.0,Private University,17,Medium
26,24,Male,4.0,90.0,Yes,9,9.0,5.0,50.0,Yes,3.0,4.0,High,2.0,5.0,8.0,Public University,21,High
27,20,Female,2.0,92.0,Yes,7,9.0,6.0,50.0,Yes,0.0,6.0,Low,4.0,1.0,6.0,Public University,19,Medium
28,22,Female,3.0,75.0,No,9,8.0,5.0,250.0,Yes,6.0,2.0,High,7.0,4.0,5.0,Private University,19,Medium
29,23,Female,3.0,62.0,Yes,5,6.0,5.0,200.0,Yes,3.0,10.0,Low,5.0,5.0,4.0,Private University,16,Medium
30,19,Female,1.0,90.0,Yes,3,8.0,9.0,150.0,No,0.0,9.0,Medium,3.0,3.0,7.0,National University,15,Medium
31,20,Female,7.0,68.0,No,7,4.0,7.0,150.0,Yes,6.0,7.0,High,6.0,3.0,3.0,National University,15,Medium
32,24,Female,5.0,56.0,No,2,5.0,8.0,100.0,No,1.0,5.0,Medium,8.0,4.0,1.0,Public University,2,Low
33,23,Male,5.0,75.0,Yes,2,8.0,4.0,450.0,Yes,6.0,3.0,Medium,2.0,4.0,4.0,Private University,13,Medium
34,20,Female,2.0,97.0,No,5,5.0,7.0,50.0,Yes,6.0,10.0,Medium,9.0,9.0,5.0,Public University,12,Medium
35,24,Female,1.0,40.0,Yes,6,9.0,6.0,150.0,Yes,7.0,8.0,Low,8.0,2.0,2.0,National University,22,High
36,23,Male,7.0,78.0,No,1,9.0,6.0,250.0,No,1.0,6.0,Low,4.0,6.0,1.0,National University,8,Low
37,19,Male,9.0,59.0,No,8,3.0,5.0,200.0,Yes,5.0,5.0,Medium,9.0,9.0,9.0,Private University,14,Medium
38,21,Male,1.0,97.0,Yes,7,2.0,8.0,200.0,No,6.0,11.0,High,5.0,5.0,2.0,Private University,15,Medium
39,20,Female,9.0,89.0,No,1,3.0,5.0,200.0,Yes,1.0,6.0,Low,8.0,6.0,1.0,Private University,1,Low
40,19,Male,6.0,74.0,No,9,5.0,8.0,150.0,Yes,7.0,9.0,Low,5.0,6.0,1.0,National University,15,Medium
41,20,Male,3.0,83.0,No,3,1.0,9.0,0.0,Yes,4.0,3.0,High,5.0,2.0,5.0,Public University,3,Low
42,21,Male,7.0,47.0,Yes,5,3.0,5.0,100.0,No,2.0,6.0,Low,5.0,3.0,9.0,Private University,17,Medium
43,20,Male,6.0,48.0,Yes,9,1.0,8.0,50.0,No,1.0,10.0,Low,1.0,4.0,8.0,Private University,17,Medium
44,19,Female,1.0,48.0,No,1,5.0,6.0,50.0,No,4.0,8.0,Medium,1.0,1.0,3.0,Private University,14,Medium
45,19,Female,5.0,45.0,Yes,9,9.0,5.0,150.0,No,0.0,1.0,Low,7.0,5.0,6.0,National University,15,Medium
46,19,Male,6.0,70.0,Yes,3,9.0,8.0,0.0,No,0.0,7.0,Low,4.0,4.0,5.0,Public University,12,Medium
47,21,Female,8.0,77.0,Yes,4,2.0,4.0,200.0,Yes,5.0,5.0,Medium,7.0,6.0,3.0,Public University,7,Low
48,20,Female,5.0,50.0,No,8,9.0,6.0,200.0,No,1.0,5.0,Medium,7.0,3.0,7.0,National University,21,High
49,20,Male,8.0,68.0,Yes,6,1.0,6.0,100.0,No,6.0,7.0,Low,4.0,4.0,4.0,National University,14,Medium
50,23,Female,9.0,48.0,No,8,6.0,9.0,50.0,No,4.0,6.0,Low,9.0,4.0,1.0,Private University,12,Medium
51,22,Male,5.0,43.0,No,1,4.0,9.0,50.0,No,0.0,6.0,Medium,7.0,4.0,9.0,National University,7,Low
52,24,Female,1.0,74.0,No,9,5.0,4.0,200.0,No,3.0,4.0,High,3.0,1.0,4.0,Public University,20,Medium
53,20,Male,3.0,62.0,No,3,5.0,5.0,300.0,No,2.0,2.0,Medium,2.0,8.0,2.0,National University,1,Low
54,22,Female,4.0,87.0,No,9,7.0,8.0,100.0,No,5.0,10.0,Low,7.0,9.0,9.0,Private University,23,High
55,23,Male,1.0,60.0,No,4,2.0,8.0,100.0,Yes,3.0,7.0,High,4.0,5.0,1.0,National University,2,Low
56,23,Female,8.0,96.0,Yes,8,3.0,7.0,0.0,No,1.0,4.0,Low,6.0,4.0,5.0,Private University,10,Low
57,24,Female,9.0,61.0,No,4,7.0,5.0,200.0,Yes,5.0,1.0,Low,4.0,3.0,2.0,Public University,9,Low
58,20,Female,3.0,43.0,Yes,2,6.0,4.0,150.0,No,6.0,4.0,Low,4.0,1.0,4.0,Public University,17,Medium
59,19,Male,9.0,79.0,No,7,2.0,5.0,150.0,Yes,4.0,7.0,Medium,1.0,2.0,6.0,Private University,17,Medium
60,19,Male,4.0,79.0,Yes,1,5.0,4.0,450.0,Yes,7.0,10.0,Medium,4.0,8.0,6.0,Public University,15,Medium
61,24,Male,4.0,98.0,Yes,1,6.0,9.0,100.0,Yes,1.0,5.0,Medium,5.0,5.0,4.0,National University,1,Low
62,24,Female,4.0,73.0,No,4,6.0,7.0,100.0,No,1.0,3.0,Medium,2.0,5.0,6.0,Private University,8,Low
63,20,Female,0.0,57.0,No,4,1.0,7.0,150.0,Yes,1.0,11.0,High,1.0,5.0,3.0,National University,6,Low
64,23,Male,1.0,75.0,No,7,9.0,4.0,350.0,Yes,1.0,5.0,Low,6.0,8.0,1.0,Private University,9,Low
65,19,Male,4.0,95.0,No,5,7.0,8.0,150.0,Yes,1.0,4.0,Low,8.0,5.0,7.0,Public University,9,Low
66,23,Female,3.0,57.0,Yes,7,7.0,8.0,50.0,Yes,2.0,7.0,Low,9.0,4.0,2.0,Public University,11,Medium
67,19,Female,7.0,59.0,No,4,1.0,7.0,0.0,Yes,4.0,6.0,Medium,2.0,8.0,7.0,Public University,5,Low
68,21,Female,6.0,94.0,No,6,2.0,8.0,50.0,No,5.0,11.0,Medium,5.0,6.0,3.0,Public University,13,Medium
69,22,Male,9.0,40.0,Yes,6,8.0,9.0,650.0,Yes,4.0,1.0,High,8.0,9.0,9.0,Private University,8,Low
70,22,Female,7.0,91.0,Yes,5,4.0,9.0,50.0,Yes,2.0,6.0,High,8.0,4.0,2.0,Public University,4,Low
71,20,Female,7.0,67.0,Yes,1,3.0,6.0,300.0,No,7.0,1.0,Medium,6.0,1.0,5.0,National University,10,Low
72,23,Male,0.0,47.0,No,4,4.0,8.0,200.0,Yes,2.0,5.0,Medium,7.0,7.0,8.0,Private University,6,Low
73,23,Male,0.0,82.0,Yes,4,4.0,9.0,50.0,No,0.0,8.0,Low,5.0,5.0,4.0,Public University,6,Low
74,22,Female,6.0,70.0,No,4,1.0,9.0,100.0,No,5.0,6.0,Low,9.0,2.0,2.0,Public University,7,Low
75,24,Female,7.0,87.0,No,5,6.0,4.0,200.0,No,4.0,7.0,Medium,2.0,1.0,7.0,National University,24,High
76,24,Male,3.0,69.0,Yes,3,7.0,7.0,150.0,No,3.0,8.0,Medium,6.0,5.0,2.0,National University,11,Medium
77,21,Female,0.0,52.0,No,3,1.0,9.0,100.0,No,1.0,2.0,Low,6.0,2.0,8.0,Public University,4,Low
78,21,Male,5.0,64.0,Yes,1,2.0,8.0,50.0,No,4.0,1.0,Medium,6.0,2.0,3.0,Private University,1,Low
79,21,Female,0.0,71.0,No,6,6.0,9.0,50.0,No,3.0,1.0,Low,1.0,6.0,6.0,Public University,7,Low
80,19,Female,3.0,91.0,No,3,2.0,4.0,300.0,Yes,1.0,1.0,Low,2.0,9.0,6.0,National University,2,Low
81,20,Male,9.0,50.0,Yes,5,5.0,7.0,50.0,No,4.0,5.0,High,8.0,5.0,3.0,Public University,10,Low
82,24,Female,0.0,93.0,Yes,1,5.0,9.0,100.0,No,1.0,9.0,Medium,4.0,5.0,8.0,Private University,6,Low
83,21,Male,1.0,86.0,Yes,6,3.0,7.0,200.0,Yes,0.0,8.0,High,2.0,2.0,2.0,National University,8,Low
84,20,Male,6.0,54.0,Yes,3,4.0,8.0,50.0,No,5.0,2.0,Low,6.0,8.0,4.0,Private University,2,Low
85,21,Female,2.0,44.0,Yes,2,1.0,6.0,100.0,Yes,1.0,3.0,High,4.0,1.0,8.0,Private University,6,Low
86,24,Female,1.0,80.0,Yes,5,1.0,9.0,250.0,No,3.0,11.0,Low,5.0,5.0,7.0,Private University,13,Medium
87,19,Male,7.0,78.0,Yes,4,3.0,8.0,100.0,Yes,4.0,4.0,Medium,8.0,8.0,2.0,Public University,1,Low
88,23,Male,9.0,50.0,No,5,8.0,5.0,50.0,No,0.0,8.0,Low,2.0,5.0,7.0,Private University,18,Medium
89,23,Male,4.0,49.0,No,3,9.0,5.0,0.0,No,1.0,2.0,Low,6.0,5.0,5.0,Public University,10,Low
90,21,Female,3.0,71.0,No,3,5.0,5.0,50.0,Yes,6.0,3.0,Medium,3.0,8.0,4.0,Public University,6,Low
91,21,Female,5.0,57.0,Yes,5,2.0,5.0,200.0,Yes,1.0,8.0,Medium,3.0,9.0,3.0,Private University,3,Low
92,23,Female,9.0,66.0,Yes,6,5.0,9.0,150.0,Yes,2.0,6.0,Low,2.0,6.0,2.0,Public University,4,Low
93,20,Male,9.0,92.0,No,3,2.0,7.0,100.0,No,2.0,3.0,Low,1.0,3.0,1.0,Public University,1,Low
94,20,Female,4.0,64.0,No,4,4.0,7.0,0.0,No,3.0,6.0,High,3.0,7.0,7.0,Public University,10,Low
95,22,Male,4.0,54.0,No,1,4.0,6.0,150.0,Yes,7.0,11.0,Low,3.0,2.0,2.0,National University,15,Medium
96,19,Female,1.0,90.0,Yes,8,7.0,5.0,350.0,Yes,2.0,9.0,Medium,8.0,2.0,6.0,Public University,23,High
97,19,Male,3.0,95.0,No,1,8.0,8.0,100.0,No,15.0,10.0,Low,8.0,5.0,6.0,Public University,16,Medium
98,21,Male,1.0,80.0,Yes,1,9.0,6.0,350.0,No,2.0,10.0,Medium,4.0,6.0,7.0,National University,17,Medium
99,23,Female,4.0,53.0,Yes,8,8.0,6.0,250.0,Yes,0.0,2.0,Low,2.0,8.0,3.0,Public University,5,Low
100,22,Male,2.0,71.0,No,7,3.0,4.0,0.0,No,5.0,11.0,Medium,7.0,8.0,5.0,Private University,19,Medium
101,24,Male,5.0,77.0,Yes,3,3.0,8.0,150.0,Yes,0.0,7.0,Medium,5.0,5.0,1.0,Private University,1,Low
102,20,Male,6.0,68.0,No,6,2.0,7.0,150.0,Yes,3.0,3.0,High,1.0,2.0,1.0,Private University,4,Low
103,22,Male,5.0,63.0,Yes,8,8.0,4.0,250.0,Yes,2.0,10.0,Medium,7.0,2.0,5.0,Public University,25,High
104,23,Female,6.0,81.0,Yes,8,4.0,7.0,50.0,No,7.0,10.0,Low,9.0,7.0,8.0,Public University,23,High
105,20,Male,1.0,47.0,Yes,7,2.0,6.0,200.0,Yes,1.0,6.0,Low,8.0,6.0,7.0,Public University,9,Low
106,20,Male,8.0,76.0,Yes,2,4.0,7.0,0.0,Yes,3.0,2.0,Medium,9.0,6.0,1.0,Public University,3,Low
107,19,Male,0.0,67.0,No,5,7.0,5.0,150.0,Yes,2.0,7.0,Medium,1.0,8.0,2.0,National University,8,Low
108,21,Female,8.0,59.0,No,6,4.0,5.0,150.0,Yes,0.0,7.0,High,2.0,7.0,1.0,National University,4,Low
109,21,Male,3.0,77.0,No,4,6.0,7.0,250.0,No,4.0,3.0,Low,9.0,3.0,3.0,Public University,10,Low
110,22,Male,7.0,73.0,Yes,4,3.0,7.0,200.0,No,3.0,1.0,Low,5.0,9.0,6.0,Public University,1,Low
111,24,Male,1.0,90.0,No,9,6.0,8.0,50.0,No,3.0,10.0,Medium,8.0,5.0,8.0,Private University,23,High
112,23,Male,0.0,70.0,Yes,7,6.0,9.0,100.0,Yes,5.0,2.0,Medium,6.0,2.0,8.0,Private University,15,Medium
113,23,Female,1.0,85.0,Yes,4,4.0,8.0,0.0,Yes,4.0,10.0,Medium,1.0,6.0,4.0,National University,10,Low
114,23,Male,3.0,64.0,No,2,9.0,8.0,200.0,No,6.0,11.0,High,4.0,2.0,1.0,National University,19,Medium
115,19,Female,2.0,47.0,Yes,1,5.0,8.0,200.0,Yes,2.0,2.0,Low,2.0,5.0,5.0,Private University,0,Low
116,23,Male,0.0,54.0,Yes,2,4.0,6.0,100.0,Yes,7.0,5.0,High,9.0,3.0,9.0,National University,16,Medium
117,23,Male,7.0,46.0,No,3,5.0,7.0,100.0,No,7.0,3.0,High,5.0,8.0,7.0,Private University,10,Low
118,24,Male,2.0,53.0,No,9,5.0,6.0,200.0,Yes,6.0,3.0,High,9.0,5.0,4.0,Public University,14,Medium
119,23,Female,8.0,92.0,Yes,8,5.0,8.0,0.0,No,4.0,10.0,Low,7.0,3.0,7.0,Private University,23,High
120,23,Female,4.0,62.0,Yes,9,7.0,9.0,150.0,No,0.0,4.0,Low,9.0,7.0,5.0,National University,9,Low
121,24,Male,4.0,62.0,Yes,4,6.0,5.0,150.0,No,6.0,5.0,Medium,5.0,4.0,6.0,Public University,18,Medium
122,23,Male,4.0,79.0,Yes,9,8.0,8.0,150.0,Yes,3.0,8.0,Medium,3.0,3.0,7.0,Private University,22,High
123,20,Female,3.0,74.0,Yes,5,8.0,5.0,150.0,Yes,5.0,3.0,Medium,2.0,4.0,6.0,Public University,16,Medium
124,19,Female,3.0,43.0,Yes,7,1.0,8.0,0.0,No,7.0,11.0,High,2.0,1.0,8.0,Private University,25,High
125,19,Male,6.0,92.0,No,4,5.0,7.0,50.0,Yes,3.0,7.0,Medium,4.0,6.0,3.0,Public University,6,Low
126,22,Female,4.0,63.0,No,1,9.0,8.0,0.0,No,3.0,2.0,Medium,8.0,6.0,2.0,Private University,3,Low
127,24,Female,2.0,78.0,Yes,4,1.0,8.0,200.0,Yes,4.0,3.0,High,8.0,7.0,4.0,Private University,1,Low
128,21,Female,7.0,93.0,No,5,9.0,4.0,400.0,Yes,7.0,8.0,Medium,5.0,3.0,9.0,National University,29,High
129,24,Female,9.0,75.0,Yes,1,9.0,4.0,350.0,Yes,1.0,10.0,Low,9.0,3.0,2.0,Public University,14,Medium
130,20,Male,2.0,80.0,No,6,2.0,8.0,50.0,Yes,4.0,1.0,Medium,6.0,3.0,7.0,National University,7,Low
131,22,Female,0.0,60.0,Yes,2,6.0,7.0,0.0,No,2.0,5.0,Medium,4.0,5.0,5.0,National University,8,Low
132,22,Female,8.0,61.0,Yes,2,1.0,7.0,200.0,No,1.0,4.0,Medium,6.0,7.0,8.0,Private University,2,Low
133,20,Male,5.0,78.0,Yes,7,8.0,4.0,400.0,Yes,6.0,9.0,Low,1.0,2.0,2.0,Public University,24,High
134,21,Male,2.0,58.0,Yes,6,2.0,9.0,0.0,Yes,5.0,2.0,Low,5.0,7.0,1.0,Public University,2,Low
135,20,Male,3.0,45.0,No,2,2.0,8.0,100.0,No,2.0,6.0,Medium,6.0,6.0,9.0,National University,7,Low
136,24,Female,9.0,80.0,Yes,6,1.0,7.0,0.0,No,5.0,5.0,Medium,9.0,9.0,9.0,Public University,10,Low
137,22,Female,0.0,78.0,No,5,7.0,9.0,150.0,Yes,7.0,11.0,Low,7.0,5.0,5.0,Public University,19,Medium
138,19,Male,9.0,90.0,No,9,9.0,8.0,150.0,Yes,4.0,3.0,Low,7.0,4.0,9.0,Public University,20,Medium
139,19,Male,5.0,67.0,No,8,7.0,6.0,50.0,Yes,5.0,8.0,Low,7.0,8.0,9.0,Public University,21,High
140,19,Male,3.0,71.0,No,7,2.0,6.0,150.0,No,2.0,5.0,High,7.0,5.0,3.0,National University,8,Low
141,24,Male,5.0,69.0,No,7,1.0,4.0,250.0,No,4.0,6.0,Medium,6.0,3.0,2.0,Private University,13,Medium
142,20,Male,5.0,95.0,No,9,1.0,8.0,50.0,Yes,7.0,2.0,Medium,5.0,1.0,2.0,Public University,10,Low
143,20,Male,5.0,89.0,Yes,3,9.0,4.0,400.0,Yes,3.0,7.0,Low,4.0,2.0,9.0,National University,23,High
144,21,Male,5.0,56.0,No,5,9.0,4.0,250.0,No,0.0,6.0,Medium,4.0,3.0,4.0,Private University,17,Medium
145,19,Female,5.0,83.0,No,3,5.0,7.0,50.0,Yes,2.0,9.0,Medium,9.0,8.0,4.0,Public University,6,Low
146,19,Male,2.0,84.0,No,9,5.0,6.0,150.0,Yes,6.0,8.0,Medium,5.0,2.0,2.0,Public University,20,Medium
147,23,Female,4.0,96.0,No,5,6.0,7.0,150.0,Yes,0.0,8.0,Medium,1.0,3.0,7.0,National University,14,Medium
148,20,Male,7.0,86.0,Yes,3,5.0,4.0,150.0,Yes,7.0,11.0,Medium,7.0,4.0,7.0,Public University,23,High
149,21,Male,4.0,62.0,Yes,4,1.0,6.0,100.0,Yes,2.0,2.0,Medium,1.0,7.0,3.0,National University,3,Low
150,21,Female,2.0,94.0,Yes,5,4.0,8.0,250.0,Yes,1.0,2.0,High,5.0,3.0,3.0,Public University,2,Low
151,19,Female,1.0,41.0,Yes,8,4.0,6.0,200.0,Yes,1.0,3.0,Low,8.0,3.0,1.0,National University,6,Low
152,20,Female,2.0,45.0,Yes,7,1.0,5.0,150.0,Yes,2.0,4.0,Medium,3.0,4.0,9.0,Private University,12,Medium
153,24,Female,8.0,90.0,No,8,2.0,6.0,150.0,Yes,0.0,8.0,Low,1.0,1.0,4.0,Private University,13,Medium
154,19,Male,5.0,99.0,Yes,9,7.0,7.0,0.0,Yes,3.0,7.0,High,7.0,4.0,5.0,Private University,18,Medium
155,21,Male,1.0,41.0,Yes,3,9.0,4.0,150.0,Yes,4.0,7.0,Medium,4.0,2.0,5.0,National University,20,Medium
156,24,Male,0.0,47.0,No,8,3.0,7.0,50.0,No,7.0,10.0,Low,5.0,6.0,7.0,Public University,22,High
157,23,Female,2.0,72.0,No,2,5.0,4.0,300.0,Yes,5.0,10.0,Medium,8.0,7.0,1.0,National University,10,Low
158,22,Female,0.0,92.0,Yes,1,9.0,8.0,50.0,No,6.0,11.0,High,5.0,9.0,5.0,Private University,15,Medium
159,21,Female,5.0,81.0,Yes,6,9.0,5.0,100.0,No,6.0,8.0,Medium,3.0,7.0,9.0,National University,26,High
160,24,Male,5.0,83.0,Yes,3,1.0,9.0,0.0,Yes,0.0,5.0,Low,2.0,4.0,7.0,Public University,1,Low
161,23,Male,5.0,81.0,Yes,6,7.0,9.0,100.0,No,7.0,8.0,Medium,9.0,2.0,7.0,Public University,24,High
162,22,Male,9.0,98.0,Yes,2,8.0,7.0,50.0,No,7.0,3.0,Low,7.0,5.0,7.0,National University,15,Medium
163,19,Male,6.0,78.0,Yes,9,3.0,0.0,200.0,Yes,3.0,9.0,Medium,9.0,8.0,7.0,Private University,12,Medium
164,19,Female,9.0,83.0,No,4,2.0,6.0,250.0,Yes,6.0,9.0,High,9.0,3.0,7.0,Public University,17,Medium
165,21,Male,5.0,81.0,Yes,1,8.0,6.0,50.0,Yes,2.0,9.0,Low,2.0,9.0,2.0,Private University,5,Low
166,23,Male,0.0,68.0,No,1,2.0,8.0,50.0,No,4.0,4.0,Low,7.0,4.0,4.0,National University,3,Low
167,20,Male,1.0,82.0,Yes,2,7.0,7.0,150.0,No,3.0,7.0,High,1.0,4.0,7.0,Private University,15,Medium
168,24,Female,0.0,62.0,No,1,8.0,4.0,150.0,Yes,7.0,1.0,Medium,4.0,6.0,7.0,National University,12,Medium
169,21,Female,7.0,55.0,No,4,4.0,7.0,0.0,Yes,0.0,9.0,High,4.0,2.0,9.0,Private University,15,Medium
170,19,Male,4.0,48.0,Yes,6,8.0,6.0,300.0,Yes,1.0,4.0,High,6.0,7.0,4.0,National University,8,Low
171,21,Male,7.0,88.0,No,1,1.0,6.0,150.0,No,3.0,6.0,Low,9.0,6.0,5.0,National University,4,Low
172,24,Male,0.0,96.0,No,6,4.0,4.0,250.0,Yes,7.0,3.0,Medium,2.0,6.0,1.0,Public University,9,Low
173,22,Male,3.0,63.0,Yes,9,8.0,5.0,250.0,No,2.0,7.0,Medium,2.0,3.0,4.0,Private University,22,High
174,22,Female,2.0,99.0,No,1,2.0,5.0,250.0,No,2.0,4.0,Low,2.0,3.0,2.0,National University,3,Low
175,22,Male,5.0,80.0,Yes,6,3.0,6.0,100.0,No,1.0,4.0,High,2.0,8.0,2.0,National University,2,Low
176,22,Male,9.0,54.0,Yes,1,4.0,9.0,0.0,Yes,3.0,6.0,Medium,1.0,2.0,2.0,National University,3,Low
177,19,Male,6.0,43.0,No,4,6.0,4.0,250.0,No,3.0,2.0,High,9.0,1.0,7.0,National University,17,Medium
178,23,Female,6.0,87.0,No,3,1.0,7.0,100.0,Yes,4.0,3.0,High,1.0,8.0,8.0,Public University,2,Low
179,19,Female,7.0,96.0,Yes,2,1.0,5.0,150.0,Yes,2.0,9.0,Low,6.0,8.0,7.0,National University,6,Low
180,23,Female,6.0,42.0,Yes,8,8.0,7.0,150.0,Yes,3.0,3.0,Low,6.0,7.0,4.0,National University,10,Low
181,19,Male,6.0,93.0,No,7,5.0,9.0,150.0,Yes,0.0,1.0,Medium,9.0,7.0,7.0,National University,2,Low
182,19,Female,3.0,99.0,No,6,2.0,6.0,350.0,No,3.0,6.0,Low,3.0,6.0,5.0,Public University,10,Low
183,21,Female,1.0,75.0,No,7,7.0,9.0,0.0,No,1.0,3.0,Low,8.0,2.0,2.0,Public University,9,Low
184,24,Female,1.0,97.0,No,3,4.0,5.0,150.0,Yes,2.0,1.0,Medium,8.0,7.0,3.0,National University,1,Low
185,19,Male,8.0,50.0,No,5,2.0,9.0,50.0,Yes,2.0,9.0,Low,6.0,8.0,2.0,Public University,1,Low
186,20,Male,7.0,58.0,Yes,5,7.0,4.0,400.0,Yes,5.0,11.0,Low,2.0,9.0,6.0,Public University,19,Medium
187,19,Female,8.0,81.0,No,7,6.0,6.0,100.0,Yes,7.0,3.0,Medium,3.0,4.0,1.0,Private University,12,Medium
188,23,Male,7.0,40.0,No,3,1.0,7.0,50.0,No,1.0,3.0,Low,3.0,6.0,6.0,National University,1,Low
189,22,Male,6.0,80.0,No,2,6.0,8.0,100.0,No,3.0,5.0,High,3.0,6.0,6.0,National University,8,Low
190,20,Male,1.0,66.0,No,5,5.0,7.0,100.0,No,6.0,6.0,Low,7.0,7.0,6.0,Public University,14,Medium
191,22,Male,1.0,63.0,Yes,1,2.0,7.0,50.0,No,5.0,2.0,High,7.0,4.0,8.0,National University,7,Low
192,19,Male,6.0,92.0,Yes,1,3.0,8.0,50.0,Yes,0.0,2.0,Medium,9.0,3.0,9.0,Public University,2,Low
193,24,Female,0.0,81.0,Yes,6,6.0,7.0,200.0,Yes,1.0,11.0,Medium,1.0,8.0,2.0,Public University,9,Low
194,22,Female,1.0,89.0,No,8,5.0,4.0,250.0,Yes,2.0,4.0,Low,4.0,2.0,3.0,Public University,14,Medium
195,23,Male,9.0,86.0,Yes,9,5.0,4.0,400.0,Yes,3.0,4.0,Low,8.0,2.0,8.0,National University,21,High
196,23,Female,7.0,69.0,Yes,1,9.0,9.0,100.0,No,7.0,9.0,Medium,1.0,8.0,7.0,Public University,16,Medium
197,22,Male,5.0,78.0,No,1,8.0,8.0,0.0,Yes,2.0,1.0,Low,5.0,1.0,2.0,Private University,3,Low
198,21,Female,6.0,88.0,Yes,4,3.0,8.0,250.0,No,0.0,1.0,High,7.0,5.0,9.0,Public University,4,Low
199,21,Male,5.0,63.0,Yes,4,4.0,5.0,250.0,No,1.0,5.0,Medium,6.0,5.0,1.0,National University,5,Low
200,21,Female,2.0,95.0,No,8,3.0,4.0,450.0,No,3.0,8.0,Low,2.0,7.0,9.0,National University,20,Medium
201,19,Female,8.0,48.0,Yes,5,5.0,8.0,200.0,Yes,3.0,2.0,Medium,6.0,5.0,5.0,National University,7,Low
202,24,Female,0.0,43.0,No,4,8.0,7.0,200.0,Yes,1.0,11.0,Medium,9.0,9.0,5.0,National University,11,Medium
203,24,Female,5.0,97.0,Yes,3,7.0,9.0,0.0,Yes,2.0,8.0,Medium,7.0,7.0,9.0,Private University,11,Medium
